Title,Author
The Secret Life of Prince Charming,"Caletti, Deb"
The Six Rules of Maybe,"Caletti, Deb"
The Story of Us,"Caletti, Deb"
Felix Ever After,"Callender, Kacen"
Hurricane Child,"Callender, Kacen"
King and the Dragonflies,"Callender, Kacen"
Lark and Kasim Start a Revolution,"Callender, Kacen"
This Is Kind of an Epic Love Story,"Callender, Kacen"
Someday This Pain Will Be Useful to You,"Cameron, Peter"
The Forgetting,"Cameron, Sharon"
The Knowing,"Cameron, Sharon"
It's Always the Husband,"Campbell, Michele"
The Stranger: The Graphic Novel,"Camus, Albert"
Echo After Echo,"Capetta, A. R."
Once and Future,"Capetta, A. R."
The Brilliant Death,"Capetta, A. R."
Foul is Fair,"Capin, Hannah"
I Am Margaret Moore,"Capin, Hannah"
El Gigante Solitario,"Cappellini, Mary"
Gears of War,"Capps, Michael"
"10,000 Days of Thunder: A History of the Vietnam War","Caputo, Phillip"
Ender's Game,"Card, Orson Scott"
Ender's Shadow,"Card, Orson Scott"
Pastwatch: The Redemption of Christopher Columbus,"Card, Orson Scott"
Shadow of the Hegemon,"Card, Orson Scott"
Speaker for the Dead,"Card, Orson Scott"
The Treasure Box,"Card, Orson Scott"
Xenocide,"Card, Orson Scott"
Dragon's Keep,"Carey, Janet Lee"
Draw Me a Star,"Carle, Eric"
The Tyrant's Daughter,"Carleson, J. C."
In the Neighborhood of True,"Carlton, Susan Kaplan"
Roar,"Carmack, Cora"
Quake,"Carman, Patrick"
Tremor,"Carman, Patrick"
Infinite in Between,Carolyn Mackler
Rural Voices: 15 Authors Challenge Assumptions About Small-Town America,"Carpenter, Nora Shalaway"
Changeless,"Carriger, Gail"
Soulless,"Carriger, Gail"
The Feminism Book,"Carroll, Georgie"
The Mythology Book,"Carroll, Georgie"
How Beautiful the Ordinary: Twelve Stories of Identity,"Cart, Michael"
Goddess Interrupted,"Carter, Aimée"
Queen,"Carter, Aimée"
The Goddess Inheritance,"Carter, Aimée"
The Goddess Legacy: An Original Goddess Test Collection,"Carter, Aimée"
The Goddess Test,"Carter, Aimée"
"I’d Tell You I Love You, But Then I’d Have Kill You","Carter, Ally"
The Bloody Chamber and Other Stories,"Carter, Angela"
"Me, Him, Them and It","Carter, Caela"
The Education of Little Tree,"Carter, Forrest"
I Stop Somewhere,"Carter, TE"
Bloodline: A Novel,"Cary, Kate"
Bitterblue,"Cashore, Kristin"
Fire,"Cashore, Kristin"
Graceling,"Cashore, Kristin"
Graceling: The Graphic Novel,"Cashore, Kristin"
"Jane, Unlimited","Cashore, Kristin"
Winterkeep,"Cashore, Kristin"
Happily Ever After (KC),"Cass, Kiera"
The Betrayed,"Cass, Kiera"
The Betrothed,"Cass, Kiera"
The Crown,"Cass, Kiera"
The Elite,"Cass, Kiera"
The Heir,"Cass, Kiera"
The One,"Cass, Kiera"
The Selection,"Cass, Kiera"
The Selection Stories: The Prince and The Guard,"Cass, Kiera"
The Siren,"Cass, Kiera"
Looking for JJ,"Cassidy, Anne"
Kisses From Hell,"Cast, Kristin"
Awakened,"Cast, P. C."
Betrayed,"Cast, P. C."
Burned (PCC),"Cast, P. C."
Chosen,"Cast, P. C."
Destined,"Cast, P. C."
Hidden,"Cast, P. C."
"House of Night (Series, Title not Specified)","Cast, P. C."
House of Night: The Beginning - Marked and Betrayed,"Cast, P. C."
Hunted,"Cast, P. C."
Kalona's Fall,"Cast, P. C."
Marked,"Cast, P. C."
Moon Chosen,"Cast, P. C."
Neferet's Curse,"Cast, P. C."
Redeemed,"Cast, P. C."
Revealed (PCC),"Cast, P. C."
Sun Warrior: Tales of a New World,"Cast, P. C."
Tempted (PCC),"Cast, P. C."
Untamed (PCC),"Cast, P. C."
Dragon's Oath,"Cast, P.C."
House of Night: Legacy,"Cast, P.C."
Tin Star,"Castellucci, Cecil"
Mantle: The Best There Ever Was,"Castro, Tony"
My Antonia,"Cather, Willa"
A Question of Holmes,"Cavallaro, Brittany"
A Study in Charlotte,"Cavallaro, Brittany"
The Case for Jamie,"Cavallaro, Brittany"
The Last of August,"Cavallaro, Brittany"
AIDS,"Cefrey, Holly"
Syphilis and Other Sexually Transmitted Diseases,"Cefrey, Holly"
Something Happened in Our Town,"Celano, Marianne"
When Dinosaurs Walked,"Chaikin, Andrew"
The School for Good and Evil,"Chainani, Soman"
Dying to Know You,"Chambers, Aidan"
Postcards From No Man's Land,"Chambers, Aidan"
"Farewell, My Lovely","Chandler, Raymond"
Playback,"Chandler, Raymond"
Raymond Chandler: Stories and Early Novels: Pulp Stories / The Big Sleep / Farewell My Lovely / The High Window,"Chandler, Raymond"
The Big Sleep,"Chandler, Raymond"
The High Window,"Chandler, Raymond"
The Lady in the Lake,"Chandler, Raymond"
The Long Goodbye,"Chandler, Raymond"
The Rape of Nanking: The Forgotten Holocaust of World War II,"Chang, Iris"
Shiny Broken Pieces,"Charaipotra, Sona"
Symptoms of a Heartbreak,"Charaipotra, Sona"
Tiny Pretty Things,"Charaipotra, Sona"
Muted,"Charles, Tami"
Papillon,"Charrière, Henri"
So Done,"Chase, Paula"
Confessions of a High School Disaster,"Chastain, Emma"
Notes From a Former Virgin : Junior Year,"Chastain, Emma"
The Year of Living Awkwardly,"Chastain, Emma"
Imaginary Friend,"Chbosky, Stephen"
Pieces: A Collection of New Voices,"Chbosky, Stephen"
The Perks of Being a Wallflower,"Chbosky, Stephen"
The Speaker,"Chee, Traci"
We Are Not Free,"Chee, Traci"
Violet Made of Thorns,"Chen, Gina"
For Real,"Cherry, Alison"
Girl With a Pearl Earring,"Chevalier, Tracy"
The Lady and the Unicorn,"Chevalier, Tracy"
A Queer History of the United States For Young People,"Chevat, Richie"
African Journey,"Chiasson, John"
Night School,"Child, Lee"
The Midnight Line,"Child, Lee"
Worth Dying For,"Child, Lee"
"Henry VIII's Last Victim: The Life and Times of Henry Howard, Earl of Surrey","Childs, Jessie"
Awkward,"Chmakova, Svetlana"
Vicious Spirits,"Cho, Kat"
Permanent Record,"Choi, Mary H. K."
Emergency Contact,"Choi, Mary H.K."
Yolk,"Choi, Mary H.K."
Trust Exercise,"Choi, Susan"
The Silvered Serpents,"Chokshi, Roshani"
Death on the Nile,"Christie, Agatha"
Solstice,"Christie, Kate"
Stolen,"Christopher, Lucy"
Mixed: A Colorful Story,"Chung, Arree"
The Bone Witch,"Chupeco, Rin"
The Heart Forger,"Chupeco, Rin"
The Never Tilting World,"Chupeco, Rin"
The ShadowGlass,"Chupeco, Rin"
Going Viral: A Socially Distant Love Story,"Cicatelli-Kuc, Katie"
La Casa en Mango Street,"Cisneros, Sandra"
My Wicked Wicked Ways: Poems,"Cisneros, Sandra"
The House on Mango Street,"Cisneros, Sandra"
The Tesla Testament,"Ciurana, Eugene"
Chain of Gold,"Clare, Cassandra"
Chain Of Iron,"Clare, Cassandra"
Chain Of Thorns,"Clare, Cassandra"
City of Ashes,"Clare, Cassandra"
City of Bones,"Clare, Cassandra"
City of Fallen Angels,"Clare, Cassandra"
City of Glass,"Clare, Cassandra"
City of Heavenly Fire,"Clare, Cassandra"
City of Lost Souls,"Clare, Cassandra"
Clockwork Angel,"Clare, Cassandra"
Clockwork Prince,"Clare, Cassandra"
Clockwork Princess,"Clare, Cassandra"
Lady Midnight,"Clare, Cassandra"
Lord of Shadows,"Clare, Cassandra"
Queen of Air and Darkness,"Clare, Cassandra"
Sword Catcher,"Clare, Cassandra"
The Bane Chronicles,"Clare, Cassandra"
The Infernal Devices: The Complete Trilogy,"Clare, Cassandra"
The Lost Book of the White,"Clare, Cassandra"
The Red Scrolls of Magic,"Clare, Cassandra"
Freakboy,"Clark, Kristin Elizabeth"
Daddy's Little Girl,"Clark, Mary Higgins"
Moonlight Becomes You,"Clark, Mary Higgins"
Two Little Girls in Blue,"Clark, Mary Higgins"
2001: a Space Odyssey,"Clarke, Arthur C."
The Pants Project,"Clarke, Cat"
Terrorism Inc.: The Financing of Terrorism Insurgency and Irregular Warfare,"Clarke, Colin P."
Al Capsella and the Watchdogs,"Clarke, Judith"
Shōgun: The Epic Novel of Japan,"Clavell, James"
Datos geniales sobre béisbol/Cool Baseball Facts,"Clay, Kathryn"
Blackout,"Clayton, Dhonielle"
The Belles,"Clayton, Dhonielle"
The Rumor Game,"Clayton, Dhonielle"
Little Bee,"Cleave, Chris"
Texas Gothic,"Clement-Moore, Rosemary"
Things That Are,"Clements, Andrew"
The Girls,"Cline, Emma"
Ready Player One,"Cline, Ernest"
Ghost World,"Clowes, Daniel"
Scooter Girl,"Clugston-Flores, Chynna"
Between the World and Me,"Coates, Ta-Nehisi"
"Black Panther: A Nation Under Our Feet, Vol. 1","Coates, Ta-Nehisi"
"Black Panther: A Nation Under Our Feet, Vol. 2","Coates, Ta-Nehisi"
"Black Panther: A Nation Under Our Feet, Vol. 3","Coates, Ta-Nehisi"
"Black Panther: A Nation Under Our Feet, Vol. 4","Coates, Ta-Nehisi"
Home,"Coben, Harlan"
Shelter,"Coben, Harlan"
Tell No One,"Coben, Harlan"
The Charm Offensive,"Cochrun, Alison"
Disgrace,"Coetzee, J.M."
Leverage,"Cohen, Joshua"
The Murder of Helen Jewett,"Cohen, Patricia Cline"
Dash and Lily's Book of Dares,"Cohn, Rachel"
Gingerbread,"Cohn, Rachel"
Naomi and Ely's No Kiss List,"Cohn, Rachel"
Nick and Norah's Infinite Playlist,"Cohn, Rachel"
The Steps,"Cohn, Rachel"
The Kingdom of Little Wounds,"Cokal, Susann"
All I Need,"Colasanti, Susane"
Now and Forever,"Colasanti, Susane"
So Much Closer,"Colasanti, Susane"
Something Like Fate,"Colasanti, Susane"
Waiting For You,"Colasanti, Susane"
When It Happens,"Colasanti, Susane"
Finding Yvonne,"Colbert, Brandy"
Little and Lion,"Colbert, Brandy"
The Only Black Girls in Town,"Colbert, Brandy"
The Revolution of Birdie Randolph,"Colbert, Brandy"
The Facts Speak for Themselves,"Cole, Brock"
The Goats,"Cole, Brock"
If You Leave,"Cole, Courtney"
Dear Medusa,"Cole, Olivia A."
Tyler Johnson was Here,"Coles, Jay"
A Tale of Magic,"Colfer, Chris"
A Tale of Sorcery,"Colfer, Chris"
A Tale of Witchcraft,"Colfer, Chris"
Stranger Than Fanfiction,"Colfer, Chris"
American Gangster,"Collins, Max Allan"
All the Invisible Things,"Collins, Orlagh"
Until We Meet Again,"Collins, Renee"
Catching Fire,"Collins, Suzanne"
Mockingjay,"Collins, Suzanne"
The Hunger Games,"Collins, Suzanne"
Brules,"Combs, Harry"
Core,"Combs, Teshelle"
Sole: A Blue Novella,"Combs, Teshelle"
The Syndicate,"Combs, Teshelle"
The System,"Combs, Teshelle"
When Mr. Dog Bites,"Conaghan, Brian"
"Boy Erased: A Memoir of Identity, Faith, and Family","Conley, Garrard"
Chasing The Dime,"Connelly, Michael"
The Lincoln Lawyer,"Connelly, Michael"
The White Road,"Connolly, John"
A Home for Goddesses and Dogs,"Connor, Leslie"
The Truth As Told By Mason Buttle,"Connor, Leslie"
Newjack: Guarding Sing Sing,"Conover, Ted"
Beach Music,"Conroy, Pat"
The Lords of Discipline,"Conroy, Pat"
The Prince of Tides,"Conroy, Pat"
Captain Marvel,"Conway, Gerry"
House of Ash,"Cook, Hope"
What Girls Learn,"Cook, Karin"
Coma,"Cook, Robin"
The Face on the Milk Carton,"Cooney, Caroline B."
Freshman Promises,"Cooney, Linda A."
"Marriage, A History: How Love Conquered Marriage","Coontz, Stephanie"
The Way We Never Were: American Families and the Nostalgia Trap,"Coontz, Stephanie"
Leonardo,"Copplestone, Trewin"
Michelangelo,"Copplestone, Trewin"
Leviathan Wakes,"Corey, James S. A."
"Wait, What?: A Comic Book Guide to Relationships, Bodies, and Growing Up","Corinna, Heather"
Beyond the Chocolate War,"Cormier, Robert"
Fade (RC),"Cormier, Robert"
Heroes,"Cormier, Robert"
I Am the Cheese,"Cormier, Robert"
The Chocolate War,"Cormier, Robert"
The Rag and Bone Shop,"Cormier, Robert"
We All Fall Down,"Cormier, Robert"
Carpe Diem,"Cornwell, Autumn"
"Reader, I Murdered Him","Cornwell, Betsy"
The Forest Queen,"Cornwell, Betsy"
All That Remains,"Cornwell, Patricia"
Body of Evidence,"Cornwell, Patricia"
"Portrait of a Killer: Jack the Ripper, Case Closed","Cornwell, Patricia"
Postmortem: A Mystery Introducing Dr. Kay Scarpetta,"Cornwell, Patricia"
Predator,"Cornwell, Patricia"
Scarpetta,"Cornwell, Patricia"
Trace,"Cornwell, Patricia"
The Truth of Right Now,"Corthron, Kara Lee"
Blacktop Wasteland,"Cosby, S. A."
Nearly Found,"Cosimano, Elle"
Nearly Gone,"Cosimano, Elle"
9 Days and 9 Nights,"Cotugno, Katie"
99 Days,"Cotugno, Katie"
How to Love,"Cotugno, Katie"
Top Ten,"Cotugno, Katie"
You Say It First,"Cotugno, Katie"
Blaine for the Win,"Couch, Robbie"
The Sky Blues,"Couch, Robbie"
Inkmistress,"Coulthurst, Audrey"
A Veil Removed,"Cox, Michelle"
Class Act,"Craft, Jerry"
New Kid,"Craft, Jerry"
The Bondwoman's Narrative,"Crafts, Hannah"
Walk Two Moons,"Creech, Sharon"
Brides of Eden: A True Story Imagined,"Crew, Linda"
Disclosure,"Crichton, Michael"
Micro,"Crichton, Michael"
Next,"Crichton, Michael"
Prey,"Crichton, Michael"
State of Fear,"Crichton, Michael"
The Holloway Girls,"Crispell, Susan Bishop"
Billie Standish Was Here,"Crocker, Nancy"
The Passage,"Cronin, Justin"
Striving for Equality: LGBTQ Athletes Claim the Field,"Cronn-Mills, Kirstin"
First Semester,"Cross II, Cecil R."
Halfway Perfect,"Cross, Julie"
Tempest,"Cross, Julie"
Vigilante,"Cross, Kady"
Athletic Shorts: Six Short Stories,"Crutcher, Chris"
Chinese Handcuffs,"Crutcher, Chris"
Deadline,"Crutcher, Chris"
Running Loose,"Crutcher, Chris"
Staying Fat for Sarah Byrnes,"Crutcher, Chris"
The Crazy Horse Electric Game,"Crutcher, Chris"
The Sledding Hill,"Crutcher, Chris"
Whale Talk,"Crutcher, Chris"
"American Women Activists' Writings: An Anthology, 1637-2002","Cullen-DuPont, Kathryn"
Human Trafficking,"Cullen-DuPont, Kathryn"
American Dirt,"Cummins, Jeanine"
Tilt (AC),"Cumyn, Alan"
Reproductive Rights,"Cunningham, Anne"
Flamer,"Curato, Mike"
The Great Nijinsky: God of Dance,"Curlee, Lynn"
LGBTQ Rights and Activism,"Currie, Stephen"
The Watsons Go To Birmingham - 1963,"Curtis, Christopher Paul"
The Leading Edge of Now,"Curtis, Marci Lyn"
The Midwife's Apprentice,"Cushman, Karen"
Cherry Money Baby,"Cusick, John M."
Girl Parts,"Cusick, John M."
A Winter's Promise,"Dabos, Christelle"
The Witches (Graphic Novel Verson),"Dahl, Roal"
Revolting Rhymes,"Dahl, Roald"
Balzac and the Little Chinese Seamstress,"Dai, Sijie"
The Girl From Earth's End,"Dairman, Tara"
"The Teenage Guy's Survival Guide: The Real Deal on Going Out, Growing Up, and Other Guy Stuff","Daldry, Jeremy"
The Miseducation of Cameron Post,"Danforth, Emily M."
"Breath, Eyes, Memory","Danticat, Edwidge"
The Dew Breaker,"Danticat, Edwidge"
The Farming of Bones,"Danticat, Edwidge"
1215: The Year of Magna Carta,"Danziger, Danny"
Mr. Watson's Chickens,"Dapier, Jarrett"
Dead Little Mean Girl,"Darrows, Eva"
Debating Darcy,"Dasgupta, Sayantani"
The Death Cure,"Dashner, James"
The Fever Code,"Dashner, James"
The Kill Order,"Dashner, James"
The Maze Runner,"Dashner, James"
The Scorch Trials,"Dashner, James"
Mirage,"Daud, Somaiya"
All This Time,"Daughtry, Mikki"
Five Feet Apart,"Daughtry, Mikki"
Sir Apropos of Nothing,"David, Peter"
Sharice's Big Voice: A Native Kid Becomes a Congresswoman,"Davids, Sharice"
The Good Luck Girls,"Davis, Charlotte Nicole"
Never Cry Werewolf,"Davis, Heather"
Into the River,"Dawe, Ted"
Blink,"Dawn, Sasha"
This Book Is Gay,"Dawson, Juno"
100 Characters from Classical Mythology: Discover the Fascinating Stories of the Greek and Roman Deities,"Day, Malcolm"
Lyndon B. Johnson,"Day, Meredith"
"Stronger, Faster, and More Beautiful","Dayton, Arwen Elys"
No Longer Human,"Dazai, Osamu"
Corelli's Mandolin,"De Bernières, Louis"
Meet Me at the River,"de Gramont, Nina"
Child Abuse (KD),"de Koster, Katie"
Alex and Eliza,"de la Cruz, Melissa"
All for One,"de la Cruz, Melissa"
Bloody Valentine,"de la Cruz, Melissa"
Blue Bloods,"de la Cruz, Melissa"
Frozen,"de la Cruz, Melissa"
Gates of Paradise,"de la Cruz, Melissa"
Keys to the Repository,"de la Cruz, Melissa"
Lost in Time,"de la Cruz, Melissa"
Love and War,"de la Cruz, Melissa"
Masquerade,"de la Cruz, Melissa"
Misguided Angel,"de la Cruz, Melissa"
Revelations,"de la Cruz, Melissa"
The Au Pairs,"de la Cruz, Melissa"
The Ring and the Crown,"de la Cruz, Melissa"
The Van Alen Legacy,"de la Cruz, Melissa"
The Living,"de la Pena, Matt"
Mexican Whiteboy,"de la Peña, Matt"
Milo Imagines the World,"de la Peña, Matt"
Don't Ask Me Where I'm From,"De Leon, Jennifer"
Moonheart,"De Lint, Charles"
The Blue Girl,"De Lint, Charles"
Jacques-Louis David,"de Nanteuil, Luc"
A Secret Kept,"de Rosnay, Tatiana"
Forget Me Not (CD),"Dean, Carolee"
American Beauty,"Dean, Zoey"
Sunset Boulevard,"Dean, Zoey"
Tall Cool One,"Dean, Zoey"
I Wish You All the Best,"Deaver, Mason"
The Feeling of Falling in Love,"Deaver, Mason"
Everything You Need to Know About the Risks of Unprotected Sex,"DeCarlo, Carolyn"
Maybe He Just Likes You,"Dee, Barbara"
Star-Crossed,"Dee, Barbara"
The (Almost) Perfect Guide to Imperfect Boys,"Dee, Barbara"
Violets are Blue (BD),"Dee, Barbara"
Moll Flanders,"Defoe, Daniel"
"Love, Ellen: A Mother/Daughter Journey","DeGeneres, Betty"
The Girl Before,"Delaney, J. P."
In Search of Us,"Dellaira, Ava"
Love Letters to the Dead,"Dellaira, Ava"
"Trickster: Native American Tales, A Graphic Collection","Dembicki, Matt"
I'll Meet You There,"Demetrios, Heather"
Plum Island,"DeMille, Nelson"
Up country : a novel,"DeMille, Nelson"
Gravity (SD),"Deming, Sarah"
Truthwitch,"Dennard, Susan"
Legendborn,"Deonn, Tracy"
Bill and Pete,"dePaola, Tomie"
Oliver Button is a Sissy,"DePaola, Tomie"
Thirty Sunsets,"Deriso, Christine Hurley"
Forget Me Not (AD),"Derrick, Alyson"
Gender Equality (Foundations of Democracy),"des Neiges Léonard, Marie"
The Inheritance Of Loss,"Desai, Kiran"
Along for the Ride,"Dessen, Sarah"
Dreamland,"Dessen, Sarah"
Just Listen,"Dessen, Sarah"
Lock and Key,"Dessen, Sarah"
Once and for All,"Dessen, Sarah"
Saint Anything,"Dessen, Sarah"
Someone Like You,"Dessen, Sarah"
That Summer,"Dessen, Sarah"
The Moon and More,"Dessen, Sarah"
The Truth about Forever,"Dessen, Sarah"
This Lullaby,"Dessen, Sarah"
Wither,"DeStefano, Lauren"
Painting the Black,"Deuker, Carl"
Swagger,"Deuker, Carl"
Heartwishes,"Deveraux, Jude"
Tell Me Something Real,"Devlin, Calla"
What Goes Around (SD),"Diamond, Susan"
Drown,"Diaz, Junot"
The Brief Wondrous Life of Oscar Wao,"Díaz, Junot"
"Beverly, Right Here","DiCamillo, Kate"
Blade Runner (do Androids Dream of Electric Sheep),"Dick, Philip K."
A Tale of Two Cities,"Dickens, Charles"
David Copperfield: Adapted for Young Readers,"Dickens, Charles"
The Usborne Introduction to Art,"Dickins, Rosie"
The Cup of the World,"Dickinson, John"
Corn Goddess,"Dickinson, Stephanie"
"A Stylistic Analysis of Selected Stories in Achebe's ""Girls At War And Other Stories"": A Comparative Study","Dike, Chidinma"
Empire of Wild,"Dimaline, Cherie"
Hunting by Stars,"Dimaline, Cherie"
The Marrow Thieves,"Dimaline, Cherie"
Don't Get Caught,"Dinan, Kurt"
You and Me and Him,"Dinnison, Kris"
"Sucktown, Alaska","Dirkes, Craig"
WeirDo Series: Crazy Weird!,"Do, Anh"
WeirDo Series: Even Weirder!,"Do, Anh"
WeirDo Series: Extra Weird!,"Do, Anh"
WeirDo Series: Hopping Weird!,"Do, Anh"
WeirDo Series: Mega Weird!,"Do, Anh"
WeirDo Series: Messy Weird!,"Do, Anh"
WeirDo Series: Planet Weird,"Do, Anh"
WeirDo Series: Really Weird!,"Do, Anh"
WeirDo Series: Spinning Weird,"Do, Anh"
WeirDo Series: Splashy Weird!,"Do, Anh"
WeirDo Series: Spooky Weird!,"Do, Anh"
WeirDo Series: Super Weird!,"Do, Anh"
WeirDo Series: Tasty Weird!,"Do, Anh"
WeirDo Series: Totally Weird!,"Do, Anh"
WeirDo Series: Vote Weirdo,"Do, Anh"
WeirDo Series: WeirDo,"Do, Anh"
WeirDo Series: Weirdomania!,"Do, Anh"
Christopher Columbus: Explorer of the New World,"Doak, Robin S."
Deadly Design,"Dockter, Debra"
Little Brother,"Doctorow, Cory"
Pirate Cinema,"Doctorow, Cory"
Strangers She Knows,"Dodd, Christina"
"Health Smarts: How to Eat Right, Stay Fit, Make Positive Choices, and More","Doeden, Matt"
Lady Gaga: Pop's Glam Queen,"Doeden, Matt"
All the Light We Cannot See,"Doerr, Anthony"
Annexed,"Dogar, Sharon"
Bob Marley,"Dolan, Sean"
Something Like Normal,"Doller, Trish"
The Devil You Know,"Doller, Trish"
Where the Stars Still Shine,"Doller, Trish"
Needles,"Dominick, Andie"
Announcing Trouble,"Dominy, Amy Fellner"
Look Homeward: A Life of Thomas Wolfe,"Donald, David Herbert"
Lies You Never Told Me,"Donaldson, Jennifer"
The One Tree,"Donaldson, Stephen R."
Brightly Burning,"Donne, Alexa"
A Northern Light,"Donnelly, Jennifer"
Stepsister,"Donnelly, Jennifer"
These Shallow Graves,"Donnelly, Jennifer"
Room,"Donoghue, Emma"
The Lotterys More or Less,"Donoghue, Emma"
The Lotterys Plus One,"Donoghue, Emma"
Ashes to Asheville,"Dooley, Sarah"
A Heart of Stone,"Dorrestein, Renate"
A Yellow Raft in Blue Water,"Dorris, Michael"
The Cases that Haunt Us,"Douglas, John E."
The Taking of Jake Livingston,"Douglass, Ryan"
A Swift Pure Cry,"Dowd, Siobhan"
Bog Child,"Dowd, Siobhan"
Solace of the Road,"Dowd, Siobhan"
Before I Die,"Downham, Jenny"
Unbecoming,"Downham, Jenny"
You Against Me,"Downham, Jenny"
Saga Boy: My Life of Blackness and Becoming,"Downing, Antonio Michael"
The Adventures and the Memoirs of Sherlock Holmes,"Doyle, Arthur Conan"
"I Love You, Beth Cooper","Doyle, Larry"
Last True Poets of the Sea,"Drake, Julia"
The Last True Poets of the Sea,"Drake, Julia"
Blended,"Draper, Sharon M."
Copper Sun,"Draper, Sharon M."
Darkness Before Dawn,"Draper, Sharon M."
Forged By Fire,"Draper, Sharon M."
November Blues,"Draper, Sharon M."
Panic (SMD),"Draper, Sharon M."
The Battle of Jericho,"Draper, Sharon M."
An American Tragedy,"Dreiser, Theodore"
"Deal with It! A Whole New Approach to Your Body, Brain, and Life as a gURL","Drill, Esther"
Van Gogh and Gauguin: The Studio of the South,"Druick, Douglas W."
"Black Reconstruction in America, 1860-1880","Du Bois, W.E.B."
So You Want to be a Wizard,"Duane, Diane"
House of Sand and Fog,"Dubus III, Andre"
A Stolen Life,"Dugard, Jaycee"
The Man in the Iron Mask,"Dumas, Alexandre"
The Three Musketeers,"Dumas, Alexandre"
Salvage,"Duncan, Alexandra"
Daughters of Eve,"Duncan, Lois"
Killing Mr. Griffin,"Duncan, Lois"
A Year Without a Name,"Dunham, Cyrus Grace"
Dating Makes Perfect,"Dunn, Pintip"
Submarine,"Dunthorne, Joe"
A Perfect Blank,"Duran, Rye"
The Girl Who Fell from the Sky,"Durrow, Heidi W."
Mindset: The New Psychology of Success,"Dweck, Carol"
After Summer,"Earls, Nick"
Gender in the 21st Century,"Eboch, M.M."
Paso a Paso,"Echeverria, José Antonio"
Biggest Flirts,"Echols, Jennifer"
The Belgariad,"Eddings, David"
Who Was Elvis Presley?,"Edgers, Geoff"
Flesh and Spirit,"Edinger, Claudio"
Merriam-Webster's Elementary Dictionary,Editors of Merriam-Webster
Webster's Dictionary and Thesaurus for Students,Editors of Merriam-Webster
The American Spirit: Meeting the Challenge of September 11,Editors of One Nation
The American Heritage Children's Dictionary,Editors of the American Heritage dictionaries
Angelfall,"Ee, Susan"
After (AE),"Efaw, Amy"
A Visit from the Goon Squad,"Egan, Jennifer"
The Circle,"Eggers, Dave"
You Shall Know Our Velocity,"Eggers, Dave"
The Fascinators,"Eliopulos, Andrew"
Chain Reaction,"Elkeles, Simone"
Perfect Chemistry,"Elkeles, Simone"
Rules of Attraction,"Elkeles, Simone"
Bull,"Elliott, David"
Buried Heart,"Elliott, Kate"
The Real Riley Mayes,"Elliott, Rachel"
American Psycho,"Ellis, Bret Easton"
I Am a Taxi,"Ellis, Deborah"
Harrow Lake,"Ellis, Kat"
The Authority: Book One,"Ellis, Warren"
Flor Fights Back: A Stonewall Riots Survival Story,"Ellison, Joy Michael"
The Butterfly Clues,"Ellison, Kate"
Invisible Man,"Ellison, Ralph"
The Black Dahlia,"Ellroy, James"
The Lying Woods,"Elston, Ashley"
This Is Our Story,"Elston, Ashley"
Recess Warriors: Hero Is A Four-Letter Word,"Emerson, Marcus"
Bitter,"Emezi, Akwaeke"
Pet,"Emezi, Akwaeke"
Dear Evan Hansen,"Emmich, Val"
The Gathering,"Enright, Anne"
The Painter from Shanghai,"Epstein, Jennifer Cody"
The Round House,"Erdrich, Louise"
"Trans Bodies, Trans Selves: A Resource By and for Transgender Communities","Erickson-Schroth, Laura"
You're in the Wrong Bathroom!: And 20 Other Myths and Misconceptions About Transgender and Gender-Nonconforming People,"Erickson-Schroth, Laura"
The Incredible Magic of Being,"Erskine, Kathryn"
Sophomore Undercover,"Esch, Ben"
Like Water for Chocolate,"Esquivel, Laura"
Dracula in Love,"Essex, Karen"
Rana Joon and the One and Only Now,"Etaat, Shideh"
The Dead Inside,"Etler, Cyndy Drew"
We Can't Be Friends: A True Story,"Etler, Cyndy Drew"
Middlesex,"Eugenides, Jeffrey"
Eleven on Top,"Evanovich, Janet"
Fealess Fourteen,"Evanovich, Janet"
Finger Lickin Fifteen,"Evanovich, Janet"
Full House,"Evanovich, Janet"
Hard Eight,"Evanovich, Janet"
Lean Mean Thirteen,"Evanovich, Janet"
Metro Girl,"Evanovich, Janet"
Motor Mouth,"Evanovich, Janet"
Plum Lovin,"Evanovich, Janet"
Plum Lucky,"Evanovich, Janet"
Plum Spooky,"Evanovich, Janet"
Twelve Sharp,"Evanovich, Janet"
Two for the Dough,"Evanovich, Janet"
The Horse Whisperer,"Evans, Nicholas"
Lawn Boy (JE),"Evison, Jonathan"
Hank and Jim: The Fifty-Year Friendship of Henry Fonda and James Stewart,"Eyman, Scott"
Nothing Left to Burn,"Ezell, Heather"
Sleepless,"Fahy, Thomas"
Brain Jack,"Falkner, Brian"
Dark Life,"Falls, Kat"
Rip Tide,"Falls, Kat"
Written in Blood: A True Story of Murder and a Deadly 16-year-old Secret that Tore A Family Apart,"Fanning, Diane"
Jekel Loves Hyde,"Fantaskey, Beth"
Ask the Dust,"Fante, John"
If You Could Be Mine,"Farizan, Sara"
Aaliyah: More Than a Woman,"Farley, Christopher John"
"Bad Days In History: A Gleefully Grim Chronicle of Misfortune, Mayhem, and Misery for Every Day of the Year","Farquhar, Michael"
Busted Flush,"Farrell, S.L."
The Comedy Writer,"Farrelly, Peter"
"Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators","Farrow, Ronan"
As I Lay Dying,"Faulkner, William"
